Data Type,Best Chart,When to Use,When NOT,Volume Threshold,A11y Grade,A11y Fallback,Library Rec
Hierarchical / Nested Data,Treemap (alt: Sunburst / Icicle),"Showing size relationships within a hierarchy; overview of proportional structure (budget breakdown)","Hierarchy depth > 3 levels (too complex to read); user needs to compare sibling values precisely","<200 nodes: SVG; 200-1000: Canvas; >1000: paginate or pre-filter before rendering",C,"Collapsible tree table as the primary view; treemap as supplementary visual only; label all large areas","D3.js, Recharts, ApexCharts"
Flow / Process Data,Sankey Diagram (alt: Alluvial / Chord),"Showing how quantities flow between nodes; multi-source multi-target distribution","Flow directions form loops (use network graph); fewer than 3 source-target pairs; mobile-primary context","<50 flows: SVG; >=50: Canvas; >200 flows: aggregate minor flows into an Other node",C,"Flow table (Source -> Target -> Value); keyboard-traversable node list with tab stops; avoid on mobile","D3.js (d3-sankey), Plotly"
Cumulative Changes,Waterfall Chart (alt: Stacked Bar / Cascade),"Showing how individual positive/negative components add up to a final total (P&L, budget variance)","Changes are not additive; more than 12 bars (readability breaks); audience expects a simple total","4-12 bars optimal; beyond 12 aggregate minor items into a single Other bar",AA,"Table with running-total column; directional arrow icons per row (not color alone); labels on every bar","ApexCharts, Highcharts, Plotly"
Multi-Variable Comparison,Radar / Spider Chart (alt: Parallel Coordinates),"Comparing multiple entities across the same fixed set of attributes (product feature comparison)","Axes > 8 (unreadable); values need precise comparison (use grouped bar); audience unfamiliar with radar charts","2-3 datasets maximum per chart; 5-8 axes; beyond 8 axes switch to parallel coordinates",B,"Grouped bar chart as a mandatory alternative for precise reading; include raw data table","Chart.js, Recharts, ApexCharts"
Stock / Trading OHLC,Candlestick Chart (alt: OHLC Bar),"Financial time-series with Open/High/Low/Close data; trading or investment product context only","Non-financial audience; no OHLC data available (use line chart); accessibility-first context","Real-time: Canvas required; historical: paginate by time range; max 500 candles visible at once",B,"OHLC data table with sortable columns; numeric summary panel (daily change %); fill-vs-hollow pattern for colorblind","Lightweight Charts (TradingView), ApexCharts"
Relationship / Connection Data,Network Graph (alt: Adjacency Matrix),"Mapping connections between entities; network topology or social graph exploration context","Node count > 500 without clustering pre-applied; user needs precise connection counts; mobile context","<=100 nodes: SVG; 101-500: Canvas; >500: must apply clustering/LOD before rendering",D,"Fundamentally inaccessible without alternative; adjacency list table (Node A -> Node B -> Weight) is mandatory","D3.js (d3-force), Vis.js, Cytoscape.js"
Distribution / Statistical,Box Plot (alt: Violin / Beeswarm),"Showing spread, median, and outliers of a dataset; comparing distributions across multiple groups","Fewer than 20 data points per group (distribution is not meaningful); audience unfamiliar with statistical charts","Any sample size; aggregated representation so rendering is excellent at any volume",AA,"Stats summary table (min / Q1 / median / Q3 / max / mean); outlier count annotation in chart subtitle","Plotly, D3.js, Chart.js (plugin)"
Performance vs Target (Compact),Bullet Chart (alt: Gauge / Progress Bar),"Dashboard with multiple KPIs side by side; space-constrained contexts where a gauge is too large","Single KPI with emphasis (use gauge); data has no defined target range; fewer than 3 KPIs","Ideal for 3-10 bullet charts in a grid; scales to any count efficiently",AAA,"Numerical values always visible (not hover-only); color ranges labeled with threshold text","D3.js, Plotly, Custom SVG"
Proportional / Percentage,Waffle Chart (alt: Pictogram / Stacked Bar 100%),"Showing what fraction of a whole is filled; percentage progress in a visually engaging and accessible format","More than 5 categories (use stacked bar); exact values matter over visual proportion; very tight space","10x10 grid standard (100 cells); for >5 categories switch to stacked 100% bar",AA,"Better than pie for accessibility; percentage text always visible; grid cells labeled with aria-label; provide legend","D3.js, React-Waffle, Custom CSS Grid"
Hierarchical Proportional,Sunburst Chart (alt: Treemap / Circle Packing),"Exploring nested proportions where both hierarchy and relative size matter (org spend breakdown)","More than 3 hierarchy levels (outer rings become unreadable); precision matters over overview; mobile","<100 nodes: SVG; 100-500: Canvas; >500: filter to top N before rendering",C,"Collapsible indented list with percentages; breadcrumb trail for current drill-down state; table alternative mandatory","D3.js (d3-hierarchy), Recharts, ApexCharts"
Root Cause Analysis,Decomposition Tree (alt: Decision Tree / Flow Chart),"Decomposing a metric into contributing factors; AI-assisted analysis or BI drill-down scenarios","No clear parent-child causal relationship; audience expects a summary rather than exploration","Up to 5 levels deep; limit visible nodes to 20 per level for readability; lazy-load deeper levels",AA,"Keyboard-navigable expand/collapse tree; screen reader announces node label + value + % impact","Power BI (native), React-Flow, Custom D3.js"
3D Spatial Data,3D Scatter / Surface Plot (alt: Point Cloud),"Scientific/engineering context where the Z-axis carries essential info not expressible in 2D","2D projection conveys the same insight; mobile context; accessibility-required environments; standard business dashboards","WebGL required; Deck.gl: up to 1M points; Three.js: LOD required beyond 50000 pts",D,"Fundamentally inaccessible; mandatory 2D projection view + data table; never the primary chart type in product UI","Three.js, Deck.gl, Plotly 3D"
Real-Time Streaming,Streaming Area Chart (alt: Ticker / Moving Gauge),"Live monitoring dashboards; IoT/ops data updating at >=1 Hz; user needs the current value at a glance","Update frequency < 1/min (use periodic-refresh line chart); flashing content without reduced-motion support","Canvas/WebGL required; buffer last 60-300s of data; downsample older data on scroll",B,"Pause/resume button required; current value shown as large text KPI; prefers-reduced-motion freezes animation","Smoothed D3.js, CanvasJS"
Sentiment / Emotion,Word Cloud with Sentiment (alt: Sentiment Arc / Radar),"NLP output visualization; exploratory analysis of text corpus sentiment; frequency-weighted keyword overview","Precise values matter (word size is inherently imprecise); screen-reader context; corpus < 50 items","50-5000 terms optimal; beyond 5000 apply top-N filtering before render; avoid on mobile",C,"Word clouds fail screen readers; sortable list view by frequency with sentiment label column is mandatory","D3-cloud, Highcharts, Nivo"
Process Mining,Process Map / Graph (alt: DAG / Petri Net),"Analyzing event logs to visualize actual process flows; identifying bottlenecks and deviations in ops/product funnels","No event log data available; audience expects a static flowchart (use a diagram tool); node count > 100 without pre-filtering","<30 nodes: SVG; 30-100: Canvas; >100: apply variant filtering (top 80% of cases) before rendering",B,"Path summary table (variant -> frequency -> avg duration); top 3 bottlenecks as a text annotation panel","React-Flow, Cytoscape.js, Recharts"
