Principle,Category,Definition,UI_Application,CampVibe_Tie_In,Do,Dont,Source
Von Restorff Effect,Attention,The one item that differs from its peers is the one noticed and remembered.,Make the single most important element visually distinct - exactly once per view.,จองเลย is the only primary-filled button in the booking widget; one แนะนำ badge on a catalog card makes that camp stand out in the grid.,Reserve the isolation slot: one accent element per view.,Don't highlight several cards or CTAs at once - everything special means nothing is. Never use fake recommended flags (no dark patterns).,Von Restorff (1933); lawsofux.com
Zeigarnik Effect,Memory,Interrupted or incomplete tasks are remembered better than completed ones and pull to be finished.,Show incomplete states with a clear resume affordance; persist partial progress.,Host onboarding shows โปรไฟล์ของคุณเสร็จไปแล้ว 70% with the next step; a camper's half-finished booking (dates picked) is resumable from the navbar.,Persist partial progress and offer ทำต่อ (resume).,Don't guilt-trip with manufactured incompleteness or fake progress meters (dark pattern).,Zeigarnik (1927); lawsofux.com
Serial-Position Effect,Memory,Items at the start and end of a list are recalled best (primacy and recency).,Put the most important items first and last; bury the forgettable middle.,"The amenity list leads with deciders (Wi-Fi, ห้องน้ำ, ที่จอดรถ) and ends with a differentiator; the navbar puts ค้นหา first and profile last.",Order lists by importance: strongest first second-strongest last.,Don't alphabetize decision-critical lists by default.,Ebbinghaus (1885); Murdock (1962)
Peak-End Rule,Emotion,"Experiences are judged mostly by their peak moment and their ending, not the average.",Invest disproportionately in the emotional high point and the final step of each flow.,Booking confirmation is the end: celebratory and clear (เตรียมตัวไปแคมป์ได้เลย + next steps); the photo gallery is the browsing peak - make it fast and beautiful.,Polish the confirmation/success screen and the best moment of each flow.,Don't end a flow on a bare form or dead-end error; don't let checkout fizzle out.,Kahneman et al. (1993); lawsofux.com
Aesthetic-Usability Effect,Emotion,Users perceive attractive interfaces as easier to use and forgive minor friction.,Visual polish buys trust and patience - but never fixes an actually broken flow.,The teal calm-confidence brand (DESIGN.md section 1) makes CampVibe feel trustworthy enough for prepayment-level decisions by first-time visitors.,Keep token discipline and polish all 8 states (loading/empty/error included).,Don't use beauty to paper over a broken booking flow; test tasks not looks.,Kurosu & Kashimura (1995); lawsofux.com
Goal-Gradient Effect,Motivation,Effort accelerates as people get closer to a goal; visible progress motivates completion.,Show progress toward completion; give honest head starts; shrink perceived remaining effort.,Host onboarding progress bar; booking steps ขั้นตอนที่ 2 จาก 3; profile-completeness meter on the host dashboard.,Show step position and remaining effort honestly (อีก 1 ขั้นตอน).,Don't fake progress or pad flows with filler steps to exploit momentum (dark pattern).,Hull (1932); Kivetz Urminsky & Zheng (2006)
Social Proof,Persuasion,Under uncertainty people copy what others do.,"Reviews, ratings, and booking counts reduce perceived risk at decision points.",The review section with rating breakdown on camp detail; catalog cards show the rating and review count (4.8 - 24 รีวิว) right where the shortlist decision happens.,Show real verifiable reviews and counts; surface recency and reviewer context.,Never fabricate reviews counts or live-activity numbers (มีคนดูอยู่ 12 คน must be real) - fake social proof is a dark pattern and illegal in several markets.,Cialdini (1984); NN/g
Scarcity,Persuasion,Perceived limited availability increases desire and urgency.,Communicate true availability constraints as information that helps timely decisions.,The availability calendar states real remaining capacity (เหลือ 2 จุดกางเต็นท์ในวันที่เลือก) helping campers decide before weekends sell out.,"State real scarcity from live availability data only, phrased as neutral information.","Never show fake countdowns, invented เหลือห้องสุดท้าย, or pressure banners - no dark patterns per docs/context non-negotiables.",Cialdini (1984); Worchel Lee & Adewole (1975)
Anchoring,Decision-making,The first number seen biases every later value judgment.,The first-shown price or option sets the reference frame for everything after it.,"The nightly price is the anchor on cards and detail; extra fees appear early beside it (ราคารวม 1,890 บาท / 2 คืน) - never revealed late at checkout (drip pricing).",Anchor with the real typical price and show the total cost early.,Don't anchor with inflated fake was-prices or hide fees until the last step (dark pattern).,Tversky & Kahneman (1974)
Framing,Decision-making,The same fact lands differently depending on how it is framed (gain vs loss).,Choose frames that inform rather than manipulate; prefer the clearer kinder frame.,Cancellation policy copy: ยกเลิกฟรีก่อนเข้าพัก 7 วัน (gain frame) reads better than a penalty threat while stating the same rule.,Frame policies positively and precisely; test comprehension with real users.,Don't use fear-framing to push bookings; a frame must never contradict the actual policy.,Tversky & Kahneman (1981)
Loss Aversion,Decision-making,Losses feel roughly twice as strong as equivalent gains.,Reduce the perceived risk of committing; make reversibility visible at the decision point.,The free-cancellation badge on catalog cards and in the booking widget directly reduces the camper's feared loss at the moment of commitment.,Emphasize reversibility (ยกเลิกฟรี) and safety nets where they are true.,Don't weaponize loss (คุณกำลังจะเสียส่วนลด!) to force action - that is a dark pattern.,Kahneman & Tversky (1979)
Default Effect,Decision-making,People overwhelmingly stick with preselected options.,Defaults are the strongest nudge in the interface; set them for the user's benefit.,Guest count defaults to 2; sort defaults to แนะนำ; marketing notification opt-ins default OFF per PDPA and docs/context non-negotiables.,Default to the most common safest choice and make changing it trivial.,Never pre-tick options that cost money or share data (pre-ticked add-ons = dark pattern + PDPA violation).,Johnson & Goldstein (2003); Thaler & Sunstein (2008)
Choice Overload,Decision-making,Too many options reduce satisfaction and can prevent any choice at all.,"Curate, rank, and paginate; offer smart defaults and small recommended sets.",The catalog shows a ranked filtered page (~20 camps) not the whole inventory; แนะนำสำหรับคุณ rows narrow to ~6; the filter modal groups options into sections.,Rank by relevance and reveal more on demand.,Don't render 200 unranked camps or 40 flat filters at once.,Iyengar & Lepper (2000); Schwartz (2004)
Progressive Disclosure,Attention,Show only what the current step needs; reveal detail and expert options on demand.,Layer complexity: overview first then detail then advanced settings.,"Camp detail shows summary amenities with ดูทั้งหมด; the host camp form starts with essentials and hides advanced pricing behind an expander; the สอบถามที่ว่าง inquiry form asks only name, phone, and dates.","Defer secondary fields behind expanders, steps, or sheets.",Don't front-load every host setting into one giant form.,NN/g progressive disclosure; Krug (2000)
Recognition over Recall,Memory,Recognizing an option is far easier than recalling it from memory.,"Show choices, history, and suggestions instead of empty inputs.",The search modal shows recent searches and popular provinces as FilterChips; the date picker shows a calendar not a text field; the lead inbox (upcoming) offers canned reply templates.,"Offer pickers, suggestions, and visible history everywhere input is expected.",Don't require typing exact camp names or province spellings from memory.,Nielsen heuristic 6; NN/g
Doherty Threshold,Performance,Engagement soars when system response stays under ~400ms; attention breaks beyond it.,Respond within 400ms or give immediate perceived feedback (optimistic UI skeletons).,Wishlist hearts and filter chips update optimistically; the API p95 < 200ms budget (performance.md) and the loading.md matrix keep perceived pace during real waits.,Keep interactions under 400ms; use optimistic updates for toggles and likes.,Don't block the UI on a full round-trip for a simple toggle.,Doherty & Thadani (1982); lawsofux.com
Tesler's Law,Complexity,Every system has irreducible complexity; someone must absorb it - prefer the system over the user.,"Absorb complexity into smart defaults, automation, and computed values.",The price calculator absorbs the fee math (nights x price + extra fees) into one total; availability logic disables already-booked dates instead of erroring after submit.,"Let the system compute, validate, and prevent invalid states upfront.",Don't push complexity onto users (manual total math or error-after-submit for knowable conflicts).,Tesler (c.1984); lawsofux.com
Postel's Law,Interaction,Be liberal in what you accept and conservative in what you send.,Accept varied input formats then normalize; emit clean strict output.,The phone field accepts 081-234-5678 spaces or bare digits and strips to 0812345678 before the shared zod check (ux.md catalog); dates accept tap or typed entry.,Normalize input (trim strip separators) before validating against the catalog rule.,Don't reject a valid phone or email over cosmetic formatting the system can strip.,Postel (1980 RFC 761); lawsofux.com
Weber's Law,Perception,The just-noticeable difference is proportional to the baseline magnitude.,Changes must be proportionally large to be noticed; evolve interfaces gradually.,"Discounts: ลด 50 บาท looks negligible against a 5,000-baht booking but big against 300 บาท - show percent where the base is large; redesigns change one grammar at a time.",Scale the emphasis of a change or delta to its relative size.,Don't expect users to notice tiny relative changes - and don't shock them with wholesale redesigns.,Weber (1834); Fechner (1860)
Feedback Loops,Interaction,Every action needs a timely visible response for users to build a correct mental model.,"Confirm every state change - visual, textual, or auditory - within perception limits.",The wishlist heart fills instantly; booking submit walks loading -> success toast จองสำเร็จแล้ว; host edits show a saved state; replied leads get marked in the lead inbox (upcoming).,Acknowledge every mutation within ~100ms (optimistic or per the loading.md matrix).,Don't allow silent successes or silent failures anywhere.,Norman (1988); Nielsen heuristic 1
Commitment & Consistency,Persuasion,People act consistently with their prior commitments - especially small voluntary ones.,Small first asks pave the way to bigger ones; design a commitment ladder.,The สอบถามที่ว่าง inquiry is a low-commitment first step that raises later booking likelihood; saved wishlists bring campers back to their shortlist.,Design the ladder: browse -> save -> inquire -> book.,Don't lock users in with guilt copy - commitment must stay voluntary (no dark patterns).,Cialdini (1984); Freedman & Fraser (1966)
Endowment Effect,Emotion,People value things more once they feel ownership of them.,Let users customize claim and save before purchase to build attachment.,A camper's saved wishlist and named trip (ทริปวันหยุดยาว) feel owned; hosts who personalize their camp page with photos and a story invest in maintaining it.,"Enable saving, naming, and personalizing early in the journey.",Don't exploit endowment with fake reservation holds implying loss of their booking (dark pattern).,Thaler (1980); Kahneman Knetsch & Thaler (1990)
IKEA Effect,Emotion,People place higher value on things they helped create.,Co-creation (profiles listings itineraries) increases perceived value and retention.,The host listing builder: writing the camp story and arranging photos makes hosts value and maintain the listing; campers who build trip plans return to them.,Make creation flows satisfying with visible polished results.,Don't add pointless effort just to trigger investment - the effort must produce real value.,Norton Mochon & Ariely (2012)
Mere-Exposure Effect,Emotion,Repeated exposure to something breeds familiarity and preference.,Consistent brand elements become familiar then trusted across touchpoints.,"The teal palette and one card grammar repeat across Home, catalog, detail, and email so every touchpoint compounds familiarity instead of resetting it.",Keep the brand and visual grammar stable across touchpoints (DESIGN.md tokens).,Don't restyle surfaces frequently; familiarity is a compounding asset.,Zajonc (1968)
Banner Blindness,Attention,Users ignore elements that look like ads or sit in ad-typical positions.,Important content must not resemble a promotion or a dismissible strip.,Platform announcements (new provinces seasonal openings) render as in-flow content rows in the standard card grammar; host alerts live in the dashboard task list not a top banner.,Integrate critical messages into the content flow with the standard grammar.,Don't style key notices as colorful full-width banners with a CTA button.,Benway & Lane (1998); NN/g
F-Pattern Scanning,Attention,"On text-heavy pages users scan in an F shape: top line, shorter second line, then down the left edge.",Front-load keywords; use strong left-aligned hierarchy and scannable lists.,Camp descriptions and policy pages lead each block with the key fact (ยกเลิกฟรี... ราคารวม...); the review list puts rating and title first on each row.,Put decision-critical words in the first two words of headings and list items.,Don't center long Thai paragraphs or bury key policy facts mid-paragraph.,NN/g eyetracking studies (2006 2017)
Z-Pattern Scanning,Attention,On sparse visual pages eyes sweep top-left to top-right then diagonally to bottom-right.,Put the logo top-left and the primary CTA at the top-right and bottom-right terminals.,Home hero: brand top-left ค้นหาแคมป์ CTA at the Z terminal; landing sections end with their action at the bottom-right resting point.,End each visual section with the CTA on the scan terminal.,Don't scatter CTAs into mid-diagonal dead zones.,Gutenberg diagram; NN/g layout scanning
Cognitive Load: Intrinsic,Cognition,The load inherent to the task itself - it cannot be removed only supported.,Simplify the representation of hard tasks; juxtapose the information the decision needs.,Choosing dates for a group trip is intrinsically hard: the availability calendar shows price and availability per day in one view so campers stop juggling screens.,Support intrinsic load by co-locating linked info (price on the calendar day).,Don't split intrinsically linked info across screens (dates here prices there).,Sweller (1988)
Cognitive Load: Extraneous,Cognition,Load added by poor presentation - noise clutter and inconsistency.,"Remove decoration, redundancy, and mixed grammars; every element must earn its place.",DESIGN.md anti-slop rules exist to cut extraneous load: one grammar for pickers no decorative badges light chrome so camp photos carry the information.,Audit each element against the booking decision; cut what does not serve it (Lean rule).,"Don't add ornaments, duplicate CTAs, or mixed component styles.",Sweller (1988); NN/g minimalism
Cognitive Load: Germane,Cognition,The useful load spent building mental models and learning the system.,Consistent patterns convert effort into transferable learning that makes later use automatic.,The first booking teaches the pattern (dates -> guests -> confirm); every later camp reuses it exactly so camper effort shifts to choosing the right camp not re-learning UI.,Keep flows identical across camps and pages so learning transfers.,Don't vary the booking flow per camp type without a real need.,Sweller (1988 1998)
Law of Prägnanz,Perception,People perceive complex scenes in their simplest possible organized form.,Prefer simple regular layouts; reduce visual ambiguity so scenes parse instantly.,The catalog grid uses uniform card shapes in a regular grid that parses at a glance; the map view clusters pins into simple count bubbles instead of pin soup.,Choose the simplest layout that carries the content.,Don't build irregular collage layouts for browsable inventory.,Wertheimer (1923); Koffka (1935)
Chunking,Memory,Grouping information into meaningful units expands what users can hold and parse.,Format data into culturally familiar chunks; break walls of content into labeled sections.,"Phone renders as 081-234-5678 (masked 081-•••-••XX per ux.md); prices as 1,890 บาท with tabular-nums; amenities chunked by category (สิ่งอำนวยความสะดวก / กิจกรรม).",Format numbers dates and lists into recognizable chunks (tabular-nums per DESIGN.md).,Don't show raw unformatted strings (0812345678 or 189000).,Miller (1956); NN/g chunking
Labor Illusion,Perception,Visible effort by the system increases perceived value even at equal wait time.,Show meaningful work indicators when real work happens; be transparent about what is running.,A search over many camps may show กำลังค้นหาแคมป์ในเชียงใหม่... with progressive results; the upcoming AI assistant streams its answer so the work is visible.,Show what the system is doing when the wait is real (per the loading.md matrix).,Don't add fake delays to simulate effort - artificial waits are deceptive and violate the Doherty threshold.,Buell & Norton (2011)
Reciprocity,Persuasion,People feel obliged to return favors and value received.,Give genuine value first (guides tools answers) before asking for signup or reviews.,Free camping guides and checklists come before account prompts; the review ask lands after a completed stay when the platform has already delivered value.,Lead with value; time your asks after value has been delivered.,Don't gate basic browsing behind signup walls; engineered obligation is a dark pattern.,Cialdini (1984); Gouldner (1960)
Halo Effect,Perception,One salient positive trait colors the judgment of everything else.,First impressions (photo quality overall polish) transfer to trust in the whole product.,Camp cover-photo quality drives perceived camp quality - photo guidance for hosts pays off platform-wide; a polished booking widget makes payment feel safe.,Invest in hero photos and the first-viewport impression.,Don't let one neglected surface (a broken empty state) taint trust in the booking flow.,Thorndike (1920); NN/g
Picture Superiority Effect,Memory,Pictures are remembered far better than words.,Lead with imagery for browsing and recall; support with concise text.,The catalog is photo-first (aspect-video cover per card); amenity rows pair lucide icons with labels; map pins show photo previews to help recall of shortlisted camps.,Pair every key concept with an image or icon.,Don't rely on text-only lists for camps users need to remember and compare.,Paivio (1971); Standing (1973)
Decoy Effect,Decision-making,An asymmetrically dominated third option shifts choice toward the intended target.,Comparison sets steer choices; compose them only to clarify real trade-offs.,Host pricing tiers (จุดกางเต็นท์ / จุดกางเต็นท์+ไฟฟ้า / กลามปิ้ง) frame value honestly when each tier reflects a real offering campers can compare.,Present honest option sets that reflect genuine value differences.,Never add a fake decoy tier engineered only to steer purchases - manipulative pricing is a dark pattern per docs/context non-negotiables.,Huber Payne & Puto (1982)
Sunk Cost Fallacy,Decision-making,People continue an endeavor because of invested effort even against their own interest.,Users resist abandoning long flows; keep flows short and exits honest so completion means intent.,The booking flow stays at 3 steps so nobody books merely because they have come this far; the inquiry form is 4 fields.,Keep required commitment proportional to progress; allow saving and leaving freely.,Don't exploit sunk cost with long flows plus scary exit warnings designed to trap completion (dark pattern).,Arkes & Blumer (1985)
Nudge / Choice Architecture,Decision-making,How choices are arranged changes decisions even when the options are identical.,"Order, defaults, and grouping are design decisions with ethical weight; disclose influence.",Sort order แนะนำ must reflect camper value (rating fit availability) not paid placement; if sponsored slots ever exist they carry an explicit โฆษณา label.,Architect choices for the user's benefit and disclose any commercial influence.,Never disguise ads as organic results or bias defaults against the user - transparency per docs/context non-negotiables.,Thaler & Sunstein (2008)
Priming,Perception,Prior stimuli shape how later information is interpreted.,Set context with imagery and copy before the user reaches a decision.,Hero imagery of calm forest mornings primes the escape-the-city mindset before search; the review section primes with the rating summary before individual reviews.,Prime with authentic mood-setting content that matches the real experience.,Don't prime expectations the camps cannot deliver (misleading imagery backfires into bad reviews).,Tulving & Schacter (1990); Bargh (1996)
Fresh Start Effect,Motivation,People act on aspirations more at temporal landmarks (new year new month holidays).,Time prompts campaigns and nudges to natural fresh-start moments.,Seasonal collections (แคมป์รับลมหนาว) and long-weekend prompts align with Thai holiday landmarks when trip intent spikes; hosts get nudged to refresh photos before high season.,Schedule engagement around real Thai holidays and seasons.,Don't spam generic prompts detached from meaningful moments.,Dai Milkman & Riis (2014)
Curse of Knowledge,Communication,Experts cannot imagine not knowing what they know; interfaces leak internal jargon.,Write for the first-time visitor not for the team; test copy on outsiders.,DESIGN.md section 4 bans technical jargon in UI copy: บันทึกไม่สำเร็จ ลองใหม่อีกครั้ง not validation error 400; the host dashboard explains อัตราการตอบกลับ in plain Thai.,Test copy on someone outside the project; use plain Thai per DESIGN.md section 4.,Don't ship internal terms (endpoint sync cache API) into user-facing copy.,Camerer Loewenstein & Weber (1989); NN/g
